ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
10389,Prashant Vihar Rohini,Delhi,Bombay Bar-Be-Que,400,4.2,100,Indian,Prashant Vihar,57
11834,Punjabi Bagh,Delhi,Grillz N Gravy,500,2.9,80,"Chinese,Mughlai,Indian",Club Road,69
12020,Sector 11 Rohini,Delhi,U.S. Burger Point,200,3.7,50,Italian,Near Himalya Public School Sector 7,56
12785,Sector 10 Rohini,Delhi,Pind Balluchi,400,3.8,100,"Mughlai,North Indian",Metro Walk Mall,40
13079,Shalimar Bagh,Delhi,Chawla'S (Shalimar Bagh),400,4.2,50,"North Indian,Chinese",Bt Market Opp. Axis Bank,64
13103,Sector 10 Rohini,Delhi,Berco'S,600,4.1,100,"Chinese,Thai,Asian,Beverages,Desserts,Oriental,Seafood,Pan-Asian",Metro Walk Mall,39
15234,Paschim Vihar,Delhi,Hong Kong Express,450,4.3,100,"Chinese,Thai",Avtar Enclave Paschim Vihar,50
15666,Rohini,Delhi,Behrouz Biryani,500,4.2,500,"Biryani,Mughlai,Lucknowi,Hyderabadi,Kebabs,North Indian,Persian,Desserts",Sector 8,38
15846,Rohini,Delhi,Faasos,200,4.1,100,"Combo,Snacks,Beverages,Desserts,Indian",Sector 8,46
16866,Rohini,Delhi,Pizza Hut,350,3.6,100,Pizzas,Aggarwal City Plaza (13),37
17466,Ramesh Nagar,Delhi,Nando'S,450,4.1,500,"Fast Food,Portuguese,African,Grill,Salads",North West Avenue Road,69
18049,Delhi,Delhi,Giri Momos Centre & Chinese Fast Food,300,3.9,100,Chinese,Rajasthali Market,46
18879,Central Market Punjabi Bagh,Delhi,Dimsum Vs Sushi,1100,4,100,"Japanese,Pan-Asian,Chinese",Bhagwan Das Nagar,71
19212,Delhi,Delhi,Sfc Soya Chaap ( Shalimar Bagh),200,4.1,100,"Snacks,North Indian,Chinese,Fast Food,Indian,Kebabs",Shalimar Bagh,64
19221,Sector 8 Rohini,Delhi,Rolls 57 By Vhc,150,2.9,80,"Italian,Snacks,Desserts,Continental,Beverages,Combo",Netaji Subhash Place,49
19228,Paschim Vihar,Delhi,Sunil Momos.Com,300,3.3,100,Fast Food,Paschim Vihar,52
19981,Tilak Nagar,Delhi,Dunkin Donuts,250,4.3,100,"Desserts,Bakery,Beverages,Fast Food,Combo",Pacific Mall,72
20526,Sector 3 Rohini,Delhi,Sahni Fish Corner,700,4.2,50,Indian,Sector-8,33
20760,Rohini,Delhi,Kukki Da Dhaba,300,4.2,50,North Indian,Rohini,55
20970,Rohini,Delhi,Oven Story Pizza,600,3.6,100,"Pizzas,Italian",Sector 8,47
21105,Sainik Vihar,Delhi,Punjabi'S Eating Hub,400,4.2,100,"Mughlai,North Indian",Anshul Tower,44
21552,Rohini,Delhi,Metro Grill,500,2.9,80,"North Indian,Chinese",Rohini,45
21851,Tagore Garden Extension,Delhi,Imly,500,3.6,50,"Continental,South Indian,Street Food,Maharashtrian,Snacks,Mughlai,North Indian,Thalis,Desserts,Beverages,Sweets",Rajouri Garden,71
21855,Krishna Park Tilak Nagar,Delhi,Khalsa Restaurant,300,4.1,500,"North Indian,Chinese",Tilak Nagar,73
22127,Pitam Pura,Delhi,Kesar (Sainik Vihar),400,4.2,500,"North Indian,Chinese,Fast Food",Pitampura,40
22490,Sector 3 Rohini,Delhi,Pikwik Since 1991,600,4.1,500,"Indian,Chinese,Continental,Mexican,Asian",Rohini,34
22512,Pitam Pura,Delhi,Culinaria By Pikwik,200,4.2,500,"North Indian,Continental,Home Food,Indian",Shakti Vihar,52
24162,Rohini,Delhi,Domino'S Pizza,400,4.3,500,Pizzas,Nn Mall Sector- 3,30
24798,Behra Enclave Paschim Vihar,Delhi,Pakwan,300,3.7,1000,"Mughlai,North Indian,Chinese",Garg Plaza,46
26723,Rohini,Delhi,Kfc,400,4.3,100,"American,Snacks",District Centre Manglam Place,35
27658,Tagore Garden Extension,Delhi,Satguru Tiffin Service,200,3.5,20,"North Indian,Chinese,Desserts,Fast Food",Tagore Garden,73
28037,Pitam Pura,Delhi,Subs N Shakes,250,3.5,50,"American,Salads,Beverages,Mexican,Desserts,Chinese,Combo",Pitampura,56
28961,Pitam Pura,Delhi,Gulab Wala,350,4.3,5000,"North Indian,Desserts,South Indian,Street Food,Sweets,Beverages,Snacks,Indian",Pitampura,46
29851,Rohini,Delhi,Firangi Bake,400,4.1,50,"Italian,Mexican,Pastas",Sector 8,46
30218,Sector 11 Rohini,Delhi,Handi Chic-Fish,500,3.8,50,"North Indian,Chinese",Rohini,46
30677,Sector 9 Rohini,Delhi,Noodle House,300,4,1000,"Chinese,Thai,Japanese,Tibetan",Dc Chowk Rohini,37
30864,Karam Pura,Delhi,Guru Rakha (Karampura),500,4.3,100,"North Indian,Mughlai,Chinese,Tandoor",Karampura,65
31265,Sector 7 Rohini,Delhi,The Cake Cafe,350,4.1,500,"Bakery,Chinese",Sector 7 Rohini,33
31516,Tilak Nagar,Delhi,Street Foods By Punjab Grill,350,3.8,100,"North Indian,Indian,Biryani,Punjabi,Fast Food,Kebabs,Mughlai,Desserts",Tilak Nagar,73
32858,Sector 9 Rohini,Delhi,Wong'S Kitchen,250,3.8,500,"Chinese,Fast Food,Asian",Sector- 9,37
34072,Sector 14 Rohini,Delhi,Crispy Bites,400,3.7,500,"North Indian,Italian",Rohini Sec-14,46
34463,Sector 7 Rohini,Delhi,Demould,400,4.1,100,"Desserts,Bakery",Sector 7,36
35242,Sector 9 Rohini,Delhi,Tikka Junction (Rohini),400,3.8,100,"North Indian,Chinese",Dc Chowk,37
35835,Rohini,Delhi,Sweet Truth - Cake And Desserts,450,4.3,100,"Ice Cream,Bakery,Desserts,Beverages",Sector 8,37
36092,Tagore Garden Extension,Delhi,Kafilla,300,3.7,50,"Tandoor,North Indian,Chinese,Beverages",Janakpuri,65
36520,Rohini,Delhi,Ase China,150,3.8,50,Chinese,Shaheed Colonel Guruveer Singh Sarna Marg Rajapur,45
37086,Sector 2 Rohini,Delhi,Your'S Pizza,400,3.5,100,Italian,Sector-2Rohini,29
37136,Vishnu Garden,Delhi,The Pizza Pie,500,2.9,80,"Pizzas,Snacks,Italian,Beverages",Tilak Nagar,72
37709,Paschim Vihar,Delhi,Quality Cake Shop,250,4.1,20,"Desserts,Italian,Chinese,Beverages",Punjabi Bagh,58
37726,Paschim Vihar,Delhi,Waffle Lust,200,4,100,"Desserts,Beverages",Bhera Enclave,49
40819,Punjabi Bagh,Delhi,Everest Momos & Chinese Fast Food,200,3.9,100,Chinese,Punjabi Bagh,64
42380,Rohini,Delhi,Lala'S(Khao Or Khane Do),400,2.9,80,"Italian,Chinese,Fast Food",Sector 9Rohini,44
43183,Prashant Vihar Rohini,Delhi,Nutriobox,450,4.2,500,"Salads,Continental,Juices,Healthy Food",Prashant Vihar,51
43727,Sector 13 Rohini,Delhi,Prashant Roll,200,4.1,100,Snacks,Rohini Sector 13,45
44058,Budh Vihar,Delhi,Wah Ji Wah ( Budhvihar),250,3.8,1000,"Indian,Chinese",Budh Vihar,21
45703,Paschim Vihar,Delhi,Hot Spot Roll Corner,150,4.3,20,Fast Food,Paschim Vihar,57
46864,Rohini,Delhi,China Town Kathi Rolls,250,4.6,20,Fast Food,Rohini,44
47137,Paschim Vihar,Delhi,Da Pizza Makers,400,3.4,50,"Pizzas,Italian,Snacks",Paschim Vihar,65
49007,Ashok Vihar,Delhi,Cake 24X7,200,2.9,80,Bakery,Opposite Sbi,58
49628,Central Market Punjabi Bagh,Delhi,Dashi - Dimsum & Sushi Bar,1000,4.3,100,"Japanese,Chinese,Pan-Asian,Sushi",Central Market Punjabi Bagh,65
51932,Rohini,Delhi,Khalsa Dhaba,500,2.9,80,North Indian,Sector 2,35
52338,Paschim Vihar,Delhi,Da Pizza Bakers,400,2.9,80,"Pizzas,Fast Food",Paschim Vihar,61
52566,Rohini,Delhi,Jw Solitaire,800,2.9,80,"North Indian,Chinese,Continental",Adjoining M2K,37
55795,Tilak Nagar,Delhi,Chili'S American Grill & Bar,900,4.2,100,"American,Salads,Mexican,Italian,Steakhouse",Pacific Mall Tagore Garden,76
60152,Sector 8 Rohini,Delhi,Chinese Fiesta (Since 1998),150,3.6,20,"Chinese,Continental,Snacks,Beverages,Italian,Desserts",Pitampura,50
60357,Subhash Nagar Petrol Pump,Delhi,Momos Corner,300,4.2,500,"Chinese,Pan-Asian",Jail Road,70
60471,Uttam Nagar,Delhi,Rolls Mania,200,3.6,20,Beverages,Main Najafgarh Road,75
61028,Ramesh Nagar,Delhi,Papajii & Sons (Punjabi Bagh),250,3.8,50,"Indian,Chinese,Mughlai",Club Road Market,71
61238,Paschim Vihar,Delhi,For God'S Cake,300,3.9,100,"Bakery,Desserts,Beverages,Pizzas,Pastas,Snacks,Fast Food,American",Paschim Vihar,46
61290,Ramesh Nagar,Delhi,Papaji & Sons,250,2.9,80,"Mughlai,Chinese,Continental,Indian,Italian",Paschim Vihar,78
62876,Rohini,Delhi,Lunchbox,200,4.1,100,"North Indian,Punjabi,Combo,Biryani,Healthy Food,Jain,Thalis,Indian,Mughlai,Desserts",Sector 8,40
65319,Block Gg1 Vikaspuri,Delhi,Muradabadi Biryani,150,4,100,North Indian,Vikas Puri,74
68100,Sector 7 Rohini,Delhi,Kake Da Hotel,600,4.1,1000,"North Indian,Mughlai,Punjabi",Rohini,36
70400,Sector 8 Rohini,Delhi,Kc Restaurant,200,4.1,100,"Chinese,Street Food,Fast Food",Rohini,39
71071,Sector 9 Rohini,Delhi,Moroca (Rohini),250,4,500,Fast Food,Sector 9 Rohini,34
71152,Pitam Pura,Delhi,Vikas Foods,400,4.3,50,North Indian,Rani Bagh,47
71392,Pitam Pura,Delhi,Bobby Punjabi Rasoi,300,4.2,100,"Indian,Mughlai,Chinese",Pitampura,53
73682,Sector 7 Rohini,Delhi,Biryani Blues,400,4.1,500,"Biryani,Hyderabadi,Lucknowi,Kebabs,Desserts,Beverages",Rohini,38
74361,Sector 8 Rohini,Delhi,Instapizza,400,4.1,100,"Pizzas,Italian,Fast Food,Beverages,Desserts",Rohini,44
76208,Sector 8  Rohini,Delhi,Chinese Palace By Vhc,150,2.9,80,"Chinese,Beverages,Snacks,Ice Cream,Combo,Thalis",Jhilmil Colony,49
77646,Ashok Nagar,Delhi,Dilli Darbar,300,3.6,20,"Mughlai,Indian",Tilak Nagar,70
81776,Rohini,Delhi,Bonfire,200,3.5,50,North Indian,Sector-16,55
82022,Rohini,Delhi,Pifi Pizza,350,3.8,20,"Italian,Mexican,Beverages",Rohini,57
83528,Rohini,Delhi,Canteen Central - Burgers Pastas And More,300,4,100,"American,Pastas,Fast Food,Snacks,Desserts,Beverages,Asian,Italian,Tibetan,North Indian",Rohini,33
85218,Paschim Vihar,Delhi,Grills And Buns,200,3.8,100,"Fast Food,Snacks,Combo,Italian,Beverages,Continental",Paschim Vihar,50
88858,Paschim Vihar,Delhi,Pizza Pepper,500,2.9,80,"Fast Food,Italian",Gtb Nagar,57
89571,Rohini,Delhi,Ubq By Barbeque Nation,300,3.9,500,"North Indian,Mughlai,Seafood,Biryani,Desserts,Kebabs",Rohini West Metro Station Complex,38
91817,Pitampura,Delhi,Burgrill - The Win Win Burger,250,4.4,100,"Salads,Fast Food,Desserts,Continental,Beverages,American",Pitampura,46
94417,Punjab Bagh,Delhi,The Pizza Dough,200,2.7,20,"Continental,American,Fast Food,Italian,Mexican,Beverages",Club Road,76
101496,Pitam Pura,Delhi,Oriental Mom,600,4.2,100,"Asian,Chinese,Thai,Burmese",Pitampura,60
104321,Tagore Garden Extension,Delhi,Empress Delhi,800,2.9,80,"Chinese,North Indian,Continental",Rajouri Garden,78
107763,Prashant Vihar Rohini,Delhi,Haq Se Punjab,300,4.3,20,"North Indian,Continental",Rohini Sector 14,61
107820,Sector 37,Delhi,Pizza Burger Point,200,2.9,80,"Burmese,Pizzas,North Indian,Fast Food,Chinese,Italian,Beverages",Rithala Metro Station Near Sai Baba Mandir,45
107823,Sector 37,Delhi,Italiano Kitchen,200,2.9,80,"Italian,North Indian,Chinese,Fast Food,Beverages",Rithala Metro Station Sai Baba Mandir,49
109791,Rohini,Delhi,Tandoori Chubara,400,4.2,100,Tandoor,Block-7 Pocket -1 Sector-16,52
111795,Shalimar Bagh,Delhi,Mandarin Oak- The Heavenly Chinese,350,4.2,50,"Chinese,Asian,Thai",Shalimar Bagh,72
114370,Rohini,Delhi,Barista,350,3.5,20,"Beverages,Snacks,Desserts",Unity One Mall Rohini,44
123390,Sector 7 Rohini,Delhi,Bingers Biryani,200,2.9,80,"Biryani,Fast Food",Rohini,38
126943,Rohini,Delhi,Slurppy- The Shake Factory,400,2.9,80,"Fast Food,Italian,Beverages,Desserts,Continental,Pastas",Sector 11,59
128589,Sector 8 Rohini,Delhi,Shakes House By Vhc,150,2.9,80,"Beverages,Continental,Italian,Combo,Desserts,Snacks",Autram Lines,51
135975,Sector 9 Rohini,Delhi,Wat-A-Burger! - India Ka Burger,200,4,100,"Fast Food,American,Indian,Snacks,Desserts,Beverages",Sector 7,30
136701,Rohini,Delhi,Binger'S Tandoori Momos,250,2.9,80,Chinese,Shiva Road Above Tuli Property,45
136793,Pitam Pura,Delhi,Second Wife,300,2.9,80,"Fast Food,Italian",Nsp,58
136796,Pitam Pura,Delhi,Grand Peshawari,400,2.9,80,"North Indian,Mughlai",Nsp,59
136798,Pitam Pura,Delhi,Bad Food,200,2.9,80,"Italian,American,Beverages",Rohini,63
141274,Rohini,Delhi,Tasty Tasty Home Made Food,200,2.9,80,North Indian,Rohini,38
141648,Rohini,Delhi,Tandoori Momos Wala,200,2.9,80,Chinese,Sector 7,47
141938,Rohini,Delhi,Khana Khazana Food Van,300,3.4,50,Chinese,Rohini,44
142037,Rohini,Delhi,Pizza Paradise By Vhc,150,4.8,20,"Pizzas,Beverages,Italian,Continental,Biryani,Desserts,Combo",Chattarpur,44
142880,Moti Nagar,Delhi,Budget Bite,300,2.9,80,"Chinese,Snacks,Fast Food",Kirti Nagar,74
146526,Sector 6 Rohini,Delhi,Veerji Malai Chaap Wale (Rohini),400,3.8,500,"North Indian,Snacks",Sector 7 Rohini,28
147986,Sector 8 Rohini,Delhi,Royal Burger By Vhc,150,2.9,80,"Beverages,Snacks,Combo,Chinese,Continental,Italian,Pastas",Nsp,47
150802,Sector 13 Rohini,Delhi,Prashant Momos & Special Chinese Foods (Pure Veg),200,3.9,100,Chinese,Rohini,52
151192,Pitam Pura,Delhi,Deem Seem,20,2.9,80,North Indian,Pitampura,54
152458,Shalimar Bagh,Delhi,Curry Company,600,2.9,80,"Mughlai,Chinese",Shalimar Bagh,70
155090,Sector 1 Rohini,Delhi,Guruh Cakes (100% Veg),150,3.7,100,"Bakery,Desserts,Fast Food,Chinese,Snacks",Sector-1,28
156117,Tagore Garden Extension,Delhi,Dashmesh Tiffin Service,300,2.9,80,"North Indian,Beverages",Tagore Garden Extension,75
156822,Paschim Vihar,Delhi,Sandoz Paschim Vihar,300,4.1,500,"North Indian,Chinese",Punjabi Bagh,49
157267,Sector 9 Rohini,Delhi,Am2Pm Fitness Cafe,200,3.7,50,"Beverages,Thalis,Indian",Sector-9,53
157772,Rohini,Delhi,The Good Bowl,400,4.2,50,"North Indian,Punjabi,Biryani,Combo,Chinese,Beverages,Desserts,Jain,Indian,Hyderabadi,Mughlai",Sector 8,40
161230,Paschim Vihar,Delhi,The Roll Point,300,2.9,80,Fast Food,Paschim Vihar,52
163212,Rohini,Delhi,The Hungry Pit,250,3.6,20,"Italian,Continental,Beverages,Fast Food,Combo",Rohini,47
168043,Sector 7 Rohini,Delhi,Burger Singh (Big Punjabi Burgers),250,4,500,"Snacks,Fast Food,Indian,American,Beverages,Desserts,Mughlai,North Indian,Biryani,Tibetan,Chinese,Continental",Sector-7,33
168509,Sector 51,Delhi,Shakes And Chinese,250,2.9,80,"Indian,Chinese",Sector-7,45
170132,Rohini,Delhi,Biryani Kingdom,250,2.9,80,Chinese,Sector 7 Rohini,40
170463,Pitam Pura,Delhi,Bikaner Sweet Corner,300,4.4,100,"North Indian,Desserts,Sweets",Harsh Vihar Chowk Pitampura,46
170592,Rohini,Delhi,Cheers Resto Bar,300,2.9,80,North Indian,Parshant Vihar,56
170891,Begampur,Delhi,Cake 24 7,600,2.9,80,Bakery,Sector- 24,57
171799,Rohini,Delhi,Lazeez Biryani,200,2.9,80,Indian,Sector-7,46
175225,Moti Nagar,Delhi,The Street Bakers,200,4.2,20,"Bakery,Chinese,Snacks",Moti Nagar,71
177042,Rohini,Delhi,Awadhi Biryani,200,2.9,80,"Chinese,Fast Food,Combo,Biryani,Beverages",Sector-7,40
179693,Rohini,Delhi,Biryani Empire,300,3,20,"Indian,Chinese",Shiva Road Sector 7,38
179816,Rohini,Delhi,Chicken Dum Biryani,300,2.9,80,"Mughlai,Indian",Shiva Road,45
180161,Rohini,Delhi,Mughlai Biryani,300,2.9,80,"Indian,Continental,Snacks",Shiva Road,40
180171,Rohini,Delhi,Biryani Zaika,200,2.9,80,"Biryani,Chinese,North Indian",Sector 7 Rohini,45
181984,Rohini,Delhi,Biryani Wale,300,3.3,20,Indian,21 Sector,36
186196,Rohini,Delhi,The Biryani Life,250,4.2,50,"Biryani,Hyderabadi,Lucknowi,North Indian,Mughlai,Combo,Desserts",Sector 8,39
186873,Sector 8 Rohini,Delhi,Patiala Shahi Kitchen,300,4.1,100,Indian,Rohini Sector 8,36
186879,Rohini,Delhi,Shakespeer,300,2.9,80,"Fast Food,Pizzas,Beverages,Snacks",Rohini,62
188019,Mukherjee Nagar,Delhi,Zaika E Dilli 6,300,2.9,80,Mughlai,Mukherjee Nagar,53
201300,Pitam Pura,Delhi,Khichdi Experiment,250,4.3,100,"Home Food,Indian,Healthy Food,North Indian,Snacks,Maharashtrian,Sweets,South Indian,Combo,Desserts,Beverages,Kebabs",Rohini,33
206503,Rohini,Delhi,Rohini Rasoi,250,2.9,80,"Chinese,Indian",Rohini,38
219476,Tagore Garden Extension,Delhi,Cake@99,100,2.9,80,Bakery,Road No 28,73
219718,Pitam Pura,Delhi,Bowlsome,250,3.9,100,"Asian,North Indian,Continental,Healthy Food,Punjabi,Home Food,Oriental,Desserts,Beverages,Pan-Asian,Bengali,Mangalorean,Kashmiri,Lucknowi,Chinese,Sweets,Kebabs,Combo,Rajasthani,Awadhi",Rohini,35
221076,Paschim Vihar,Delhi,Roll King,300,2.9,80,Indian,Dda Gole Market A-4 Block,57
221262,Sector 73,Delhi,Hashtag Foods,400,3.9,100,"Continental,Italian",Ground Floor Rg Mall,37
222096,Rohini,Delhi,Squeezer Juice And Shakes,250,3.9,20,"Juices,Beverages,Ice Cream",Rohini,34
225317,Rohini,Delhi,La Pino'Z Pizza,500,3.9,1000,Pizzas,Dc Chowk,45
232278,Pitam Pura,Delhi,Shawarma Wala,300,3.4,50,North Indian,Nsp,40
232802,Sector 7 Rohini,Delhi,The Burger Club,250,4.2,1000,"Fast Food,American,Beverages,Desserts",Rohini,35
237387,Tagore Garden Extension,Delhi,The Thali Station,200,3.8,20,"North Indian,Punjabi,Desserts",Rajouri Garden,79
238549,Rohini,Delhi,Nine 11,800,4.1,20,"Indian,North Indian",Rohini,50
241345,Pitam Pura,Delhi,Hong'S Kitchen,250,3.8,100,"Chinese,Asian,Combo,Tibetan",Pp City,56
243665,Tilak Nagar,Delhi,Asia Seven,350,3.9,50,"Chinese,Asian,Pan-Asian,Snacks",Pacific Mall,75
243852,Paschim Vihar,Delhi,The Basil Box,1000,4,20,"Italian,Pizzas,Salads",Paschim Vihar,56
246208,Rohini,Delhi,Bikaner Sweet India,200,3.3,50,Indian,Rohini,38
246644,Rohini,Delhi,Meal Studio,250,3.9,20,"North Indian,Indian,Combo,Desserts,Beverages,Home Food,Healthy Food,Thalis,Maharashtrian",Rohini,32
249050,Paschim Vihar,Delhi,Punjabi Dhaba - Paschim Vihar,300,4,20,"Indian,North Indian",Paschim Vihar,48
254021,Paschim Vihar,Delhi,Mcdonald'S,400,4.3,1000,American,Delhi Paschim Vihar,53
254886,Pitam Pura,Delhi,Paratha Experiment,200,3.9,20,"North Indian,Punjabi,Home Food,Indian,Snacks,Combo,Desserts,Beverages,South Indian,Continental,Chettinad,Healthy Food,Chinese,Sweets",Rohini,39
256688,Budh Vihar,Delhi,Mummy Ki Rasoi,300,3.2,20,Indian,Budh Vihar,48
263294,Rohini,Delhi,Mr Chicken Changezi,200,3.7,20,Indian,Rohini,44
263383,Paschim Vihar,Delhi,Five Star Dhaba,200,3.8,100,Punjabi,Paschim Vihar,49
264577,Sector 11 Rohini,Delhi,Uncle'S Junkyard,250,2.9,80,"Chinese,Pizzas,Snacks",Rohini,60
265913,Paschim Vihar,Delhi,Momos Xpress,300,3.9,20,Chinese,Paschim Vihar,50
268311,Rohini,Delhi,Dawat Art Of Cooking,250,2.9,80,North Indian,Prashant Viharrohini Sector 14,55
272029,Moti Nagar,Delhi,Chinese Food Nation,300,3.7,20,"Continental,Chinese",Moti Nagar,69
275376,Paschim Vihar,Delhi,Delhi Cart & Bakers By Radisson Blu,1000,4.1,20,"Biryani,North Indian,Punjabi,Oriental,Sweets,Desserts,Thai,Chinese,Mughlai",Paschim Vihar,58
279863,Rohini,Delhi,Home Plate,160,4.2,500,"Home Food,North Indian,Healthy Food,Thalis,Desserts,Indian,Punjabi",Sector 7,32
289133,Rohini,Delhi,Uncle Butter Omelette,250,2.9,80,Snacks,Rohini,61
289145,Rohini,Delhi,Deluxe Butter Omlette,200,2.9,80,North Indian,Rohini,59
290521,Pitam Pura,Delhi,Hong'S Momos,200,2.9,80,"Chinese,Asian,Fast Food,Combo,Tibetan",Ppcc,64
290829,Rohini,Delhi,Sukh Chai,200,2.9,80,"Street Food,Pizzas,Beverages,Fast Food",Rajapur Sector 9,46
295283,Central Markt Punjabi Bagh,Delhi,Mirza,250,4,500,"North Indian,Chinese,Biryani,Snacks,Chaat,Beverages",Punjabi Bagh,68
299312,Rohini,Delhi,Meals And Bowls,300,4,20,"North Indian,Punjabi,Mughlai,Home Food",Rohini,36
299369,Sec-9 Rohini,Delhi,Home Factory,200,2.9,80,"North Indian,Continental,Chinese",Rohini,50
301104,Tagore Garden Extension,Delhi,Andhra Kodi Pulao,350,4.3,20,"Biryani,North Indian,Kebabs",Rajouri Garden,67
302687,Rohini,Delhi,Barbeque Nation,600,3.5,100,"North Indian,Mughlai,Seafood,Biryani,Desserts,Kebabs",Unity One Mall 6Th Floor,44
306090,Moti Nagar,Delhi,Muradabadi Chicken Biryani,400,2.9,80,Biryani,Kirti Nagar,70
306795,Pacific Mall Subhash Nagar,Delhi,Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani,1200,4.2,100,"Indian,North Indian,Mughlai,Kebabs,Biryani,Tandoor",Rajouri Garden,76
306897,Rohini,Delhi,Kiran'S Kitchen,400,2.9,80,"Indian,Chinese,Mughlai,Biryani,Punjabi",Rohini,55
307466,Rohini,Delhi,Mosaic By Crowne Plaza Rohini,1000,4.6,20,"North Indian,Bakery,Salads,Chinese,Juices,Desserts",Sector 10,48
308680,Rohini,Delhi,Nine Dragon,400,3.7,50,"Chinese,Indian",Rohini,37
311944,Punjabi Bagh,Delhi,Ancient Tawa,400,4.1,50,Indian,Punjabi Bagh,65
316164,Tilak Nagar,Delhi,Castle'S Barbeque,500,2.9,80,Chinese,Rajouri Garden,60
317283,Sector 9 Rohini,Delhi,My Diet Cafe,250,3.7,20,"North Indian,Indian,Beverages",Rohini,51
317811,Rohini,Delhi,Jai Shree Radhey Radhey Tiffin Service,200,2.9,80,Indian,Rohini,59
319428,Tagore Garden Extension,Delhi,China Hot & Hot,200,3.7,100,"Chinese,Tandoor,Indian",New Moti Nagar,66
319600,Rohini,Delhi,Phulka Restaurant,200,3.8,20,"North Indian,Tandoor,Punjabi,Chinese,Pizzas,Fast Food,Salads,Desserts",Sector 25,52
320369,Paschim Vihar,Delhi,Hotelwaterfall,200,2.9,80,"Indian,Chinese",Paschim Vihar,60
321815,Rajouri Garden,Delhi,Fabcafe By Fabindia,1000,4.2,100,"North Indian,Healthy Food,Biryani,Beverages",Rajouri Garden,73
321912,Vishnu Garden,Delhi,Paratha Universe,250,2.9,80,"Chinese,Indian",Rajouri Garden,70
322886,Pitam Pura,Delhi,The Biryani Experiment,500,4.3,100,"Biryani,Hyderabadi,Indian,Kebabs,North Indian,South Indian,Andhra,Afghani,Combo,Desserts,Beverages,Punjabi,Kerala,Sweets,Arabian,Lucknowi,Parsi,Tandoor",Rohini,36
323659,Rohini,Delhi,Pizza King,300,4.2,20,Fast Food,Rohini,61
324004,Rohini,Delhi,Lazeez,200,2.9,80,Fast Food,Rohini,46
324868,Pitam Pura,Delhi,Josh,400,2.9,80,"Indian,Chinese,Tandoor,Italian,Fast Food",Nsp,64
325021,Rohini,Delhi,Destiny Of D3,200,2.9,80,Punjabi,Rohini Sector 7,38
326743,Paschim Vihar,Delhi,Pizza Pan,500,2.9,80,"Pizzas,Fast Food",Paschim Vihar,65
328944,Pitam Pura,Delhi,Giri Momos Wala,200,3.9,100,"Chinese,Fast Food",Nsp,47
331067,Pitam Pura,Delhi,Chef Brothers Shawarma Roll,500,2.9,80,North Indian,Nsp,53
331641,Rohini,Delhi,Shake'N Food,350,4.7,20,Beverages,Rohini,46
335812,Rohini,Delhi,Little London,300,2.9,80,"Chinese,Continental,Pizzas,Pastas,Snacks,Fast Food",Rohini,40
335816,Rohini,Delhi,Chee Chee,300,2.9,80,"Italian,Continental,Pizzas",Rohini,40
